0;0.040682
1;0.040769
2;0.041012
3;0.041091
4;0.040683
5;0.040721
6;0.040782
7;0.040944
8;0.04073
9;0.040792
10;0.040855
11;0.040855
12;0.040907
13;0.040817
14;0.040932
15;0.040915
16;0.040959
17;0.04106
18;0.040734
19;0.040831
20;0.040756
21;0.040712
22;0.040955
23;0.040774
24;0.040877
25;0.040763
26;0.041041
27;0.040968
28;0.040845
29;0.040791
30;0.040735
31;0.040837
32;0.040987
33;0.040794
34;0.04075
35;0.041008
36;0.040854
37;0.040832
38;0.040814
39;0.040854
40;0.041064
41;0.040996
42;0.040985
43;0.040947
44;0.040818
45;0.040898
46;0.040978
47;0.040777
48;0.040794
49;0.040808
50;0.040882
51;0.040831
52;0.040745
53;0.040725
54;0.040815
55;0.040812
56;0.040934
57;0.04081
58;0.040705
59;0.040961
60;0.041021
61;0.04093
62;0.040904
63;0.040928
64;0.041085
65;0.041033
66;0.040856
67;0.040754
68;0.040976
69;0.040818
70;0.040752
71;0.040785
72;0.040779
73;0.040798
74;0.040939
75;0.040913
76;0.04111
77;0.040855
78;0.040765
79;0.040888
80;0.041
81;0.040872
82;0.040892
83;0.040857
84;0.04082
85;0.04081
86;0.041025
87;0.040858
88;0.041049
89;0.041054
90;0.040907
91;0.040828
92;0.040831
93;0.040774
94;0.040736
95;0.041124
96;0.040751
97;0.040995
98;0.040817
99;0.040632
